path,label
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_50_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_18_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_32_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_47_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_23_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_4_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_19_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_48_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_24_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_37_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_10_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_15_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_25_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_27_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_22_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_28_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_34_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_34_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_9_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_16_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_34_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_20_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_28_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_13_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_17_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_29_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_21_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_46_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_19_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_9_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_9_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_5_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_1_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_21_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_6_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_5_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_46_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_18_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_50_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_1_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_39_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_6_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_8_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_50_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_37_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_36_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_10_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_47_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_3_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_35_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_32_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_21_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_30_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_45_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_43_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_33_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_24_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_34_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_6_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_49_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_38_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_19_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_32_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_15_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_40_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_24_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_50_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_40_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_9_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_16_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_3_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_4_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_2_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_26_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_27_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_35_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_29_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_28_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_16_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_14_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_18_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_15_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_48_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_8_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_5_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_42_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_45_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_23_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_39_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_49_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_19_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_43_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_21_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_12_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_45_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_1_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_7_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_25_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_48_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_38_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_33_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_40_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_13_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_8_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_46_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_10_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_36_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_8_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_36_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_14_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_13_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_30_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_25_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_41_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_27_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_23_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_31_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_44_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_42_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_12_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_13_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_31_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_26_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_29_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_44_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_7_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_28_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_46_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_45_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_42_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_38_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_47_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_20_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_49_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_24_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_41_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_37_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Inglés\I_27_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Natural\Español\E_26_N.wav,0
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_26_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_39_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Inglés\I_11_G.wav,1
c:\Users\ivire\Documents\GitHub\TFG\tfg-2526-xplicavoz\Dataset\Generado\Español\E_15_G.wav,1
